Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
patient_013,1948-08-31,,999-61-6559,S24665841,,Sra.,Concepción,León Gallego,,Gallego,S,white,nonhispanic,F,"Pontevedra, Galicia, España","Rúa Nova, 16",Pontevedra,Pontevedra,Galicia,36002,42.344862,-7.905657,2962.55,0.84
patient_014,1995-08-22,,999-21-4872,S32321899,,Sra.,Pilar,Martín Peña,,Peña,W,white,nonhispanic,F,"Pontevedra, Galicia, España","Rúa de Pío XII, 4",Pontevedra,Pontevedra,Galicia,36002,42.874154,-8.744257,6614.56,0.81
patient_015,1949-05-04,,999-72-3536,S35487660,,Sra.,María,Méndez Delgado,,Delgado,D,white,nonhispanic,F,"Ourense, Galicia, España","Rúa de Pío XII, 170",Ourense,Ourense,Galicia,32003,42.391862,-9.147943,11300.32,0.81
patient_016,1943-01-01,,999-20-4044,S19196777,,Sra.,Carmen,Sánchez Aguilar,,Aguilar,M,white,nonhispanic,F,"Vigo, Galicia, España","Rúa do Hórreo, 131",Vigo,Pontevedra,Galicia,36200,43.215383,-8.68847,2678.41,0.98
patient_017,1953-10-25,,999-50-5272,S37415205,,Sr.,Sergio,Martínez Jiménez,,,D,white,nonhispanic,M,"Lugo, Galicia, España","Rúa de García Barbón, 134",Lugo,Lugo,Galicia,27001,42.429635,-8.270957,10403.66,0.86
patient_018,1948-11-13,,999-78-4492,S77898694,,Sra.,Martina,Martín González,,González,D,white,nonhispanic,F,"Lugo, Galicia, España","Rúa Nova, 19",Lugo,Lugo,Galicia,27001,42.238422,-8.392577,1963.08,0.85
patient_019,1968-11-13,,999-95-5905,S99038526,,Sra.,Antonia,Peña Ferrer,,Ferrer,M,white,nonhispanic,F,"Ferrol, Galicia, España","Rúa de Pío XII, 3",Ferrol,A Coruña,Galicia,15400,43.690074,-8.950843,2616.0,0.82
patient_020,1964-06-11,,999-72-5114,S16818112,,Sr.,Jesús,Rubio Ramírez,,,M,white,nonhispanic,M,"Pontevedra, Galicia, España","Rúa de Montero Ríos, 130",Pontevedra,Pontevedra,Galicia,36002,43.141712,-7.143695,1617.21,0.87
patient_021,1950-12-19,,999-11-2832,S20099059,,Sr.,Hugo,Delgado Navarro,,,S,white,nonhispanic,M,"Pontevedra, Galicia, España","Rúa de Rosalía de Castro, 144",Pontevedra,Pontevedra,Galicia,36002,42.982063,-7.130053,9155.13,0.83
patient_022,2002-03-15,,999-23-6794,S85146293,,Sr.,Manuel,Iglesias Guerrero,,,W,white,nonhispanic,M,"Vigo, Galicia, España","Rúa de San Pedro, 171",Vigo,Pontevedra,Galicia,36200,43.752907,-7.351358,13960.69,0.85
patient_023,2004-06-14,,999-95-5065,S45810056,,Sr.,Nicolás,Domínguez Gallego,,,S,white,nonhispanic,M,"Pontevedra, Galicia, España","Rúa de Castelao, 106",Pontevedra,Pontevedra,Galicia,36002,43.417274,-9.018951,13210.33,0.97
patient_024,1968-05-29,,999-34-7528,S54058573,,Sr.,Miguel,Cabrera Santos,,,D,white,nonhispanic,M,"Vigo, Galicia, España","Rúa do Hórreo, 169",Vigo,Pontevedra,Galicia,36200,43.555835,-6.786088,4907.75,0.93
patient_025,2004-07-16,,999-43-1626,S24549543,,Sra.,Elena,Ibáñez Cortés,,Cortés,W,white,nonhispanic,F,"A Coruña, Galicia, España","Rúa do Vilar, 149",A Coruña,A Coruña,Galicia,15001,42.622237,-7.255287,7109.51,1.0
patient_026,2001-09-17,,999-78-4228,S58884978,,Sr.,Alejandro,Ramos Ortega,,,W,white,nonhispanic,M,"Ourense, Galicia, España","Rúa do Hórreo, 134",Ourense,Ourense,Galicia,32003,42.125953,-7.572982,5622.8,0.86
patient_027,1967-10-17,,999-99-5844,S84411983,,Sr.,Iván,Sanz Montero,,,S,white,nonhispanic,M,"Ourense, Galicia, España","Rúa de Castelao, 104",Ourense,Ourense,Galicia,32003,42.345312,-7.571183,6308.03,0.95
patient_028,2007-04-11,,999-84-6279,S72409658,,Sr.,Daniel,Sanz Calvo,,,W,white,nonhispanic,M,"A Coruña, Galicia, España","Rúa de San Pedro, 111",A Coruña,A Coruña,Galicia,15001,42.795888,-8.744376,7624.61,0.98
patient_029,1941-10-25,,999-21-4848,S51663795,,Sr.,Martín,Jiménez Rubio,,,S,white,nonhispanic,M,"Pontevedra, Galicia, España","Rúa de García Barbón, 86",Pontevedra,Pontevedra,Galicia,36002,43.451813,-8.91688,1646.99,1.0
patient_030,1958-01-15,,999-93-1090,S24305904,,Sr.,Adrián,Vidal Ramos,,,W,white,nonhispanic,M,"Ourense, Galicia, España","Rúa de San Pedro, 38",Ourense,Ourense,Galicia,32003,42.393914,-7.209314,10742.76,0.89
